Delete column for submission,Actual Name,Jeff,Andy,Initial Class,Proposed name,Country,State-Prov,Site,Find or Fall Date,Purchase date,Purchase place,Fall,Latitude,Longitude,Mass,Pieces,Class,Shock,Weathering grade,Fa,Fs,Wo,Mag sus,Classifier,Class method,Type spec mass,Type spec loc,Main mass loc,Finder,Comments,Writeup history,Writeup physical,Writeup petrog,Writeup geochem,Writeup class,Writeup specimens,Submitter,,
6413A,,,L6,,Ooldea,Australia,South Australia,Nullarbor Plain,6-Apr-2013,,,,"30° 33' 25.9"" S","131° 48' 11.8"" E",10,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",8.1,Monash U.,Monash U.,A. Tomkins,,Single specimen found by A Tomkins,Rounded 2 cm specimen with 100% fusion crust weathered to desert red.,"(A. Tomkins, Monash) Few chondrules are discernable and the sample appears finely brecciated with many fine shock veins. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase, Fe-Ni metal, troilite and chromite. Chondrule types include RP, PP, BO and PO. Olivine and plagioclase grains show undulose extinction. About 65% of the FeNi metal is oxidised; much of the troilite remains.","(A. Tomkins, Monash) Microprobe analyses: olivine Fa25.0-26.1, mean=25.44 mol%, std=0.41, n=5; Low-Ca pyroxene Fs21.7-22.2, mean=21.90 mol%, std=0.21, n=5.","Ordinary chondrite (LL6, S3, W3)",,A. Tomkins,,
6413H,,L6 S4,L6 S5,,Ooldea,Australia,South Australia,Nullarbor Plain,6-Apr-2013,,,,"30° 34' 18.90 ""S","131° 48' 53.46""E",20,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",14.6,Monash U.,Monash U.,J. Kuyken,,Single specimen found by J Kuyken,An elongate rounded sample with 65% fusion crust weathered to desert red,"(A. Tomkins, Monash) Only sparse chondrules are recognisable after extenisve recrystallisation and brecciation. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase, FeNi metal, troilite and chromite. Chondrule types include RP, POP and BO. Olivine grains show mosaicism and PDFs; there are numerous shock veins. About 80% of the metal has been oxidised whereas much of the troilite remains.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa19.4-20.0, mean=19.61 mol%, std=0.28, n=4; Low-Ca pyroxene Fs17.4-18.0, mean=17.53 mol%, std=0.29, n=4.  ","Ordinary chondrite (L6, S5, W3) monomict breccia",,A. Tomkins,,
8413C,,L5,L6,,Ooldea,Australia,South Australia,Nullarbor Plain,8-Apr-2013,,,,"30° 32' 45.1"" S","131° 48' 40.2"" E",15.1,3,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",13.6,Monash U.,Monash U.,A. Tomkins,,Three jigsaw-fitting fragments found by A Tomkins,The fusion crust suggests that these three jig-saw fitting fragments represent 70% of the sample. ,"(A. Tomkins, Monash) Chondrules are distinct although shock disrupted; chondrule mesostaces are very fine grained. Mineralogy includes olivine, ortho- and clinopyroxene, plagioclase (< 5 microns), Fe-Ni metal, and troilite. Chondrule types include GOP, RP, PO, PP, POP and BO. Olivine grains show undulose extinction, and there are sparse shock veins. Metal and troilite have been heavily replaced by oxides; ~80% of metal has been destroyed. ","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa19.0-19.8, mean=19.29 mol%, std=0.32, n=5; Low-Ca pyroxene Fs16.9-17.9, mean=17.32 mol%, std=0.41, n=5.","Ordinary chondrite (L4, S3, W3)",,A. Tomkins,,
8413D,Ooldea 004,Ungr Type 3,LL3,EL3,Ooldea,Australia,South Australia,Nullarbor Plain,8-Apr-2013,,,,"30° 33' 17.3"" S","131° 49' 9.2"" E",1168,3,EL3,S2,W4,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",795,Monash U.,Monash U.,"A. Tomkins, J. Kuyken, A. Langendam",,"Three individual stones, each extensively broken up and dispersed, from a newly defined strewn field identified in 2013 and 2014. Masses range from 124 to 1044 grams. These stones were found 15 km from Watson 007, which is an EL3 of the same weathering extent; given the rarity of EL3 chondrites, they are likely to be from the same fall.","Numerous broken fragments up to 10 cm, blocky or flat, weathered to dark brown.","(E. Mare, Monash) This sample contains well defined and some unusually large chondrules (up to 5 mm). Mineralogy includes olivine, pyroxene, plagioclase, Fe-Ni metal (largely rusted out), and troilite. Chondrule types include RP, POP, CC, PO, PP. Fe-Ni metal grains (<<1%) average ~5 microns. Troilite grains (3%) are up to 200 microns and show some oxidation. Metal and troilite are partly replaced by oxides which make up ~7% of the meteorite. Olivine grains show sharp extinction, however there are extensive melt networks where brecciated silicates are suspended in oxides after troilite and metal.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.7-19.1, mean=18.84 mol%, std=0.19, n=4; Low-Ca pyroxene Fs16.5-17.0, mean=16.83 mol%, std=0.24, n=4. ","Ordinary chondrite (H5, S3, W3)",,A. Tomkins,,
8413E,,,L5,,Ooldea,Australia,South Australia,Nullarbor Plain,8-Apr-2013,,,,"30° 32' 30.9"" S","131° 48' 1.5"" E",10,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",7.6,Monash U.,Monash U.,E. Mare,,Single specimen found by E Mare,Small equant sample with 50% dark brown fusion crust.,"(A. Tomkins, Monash) This sample is coarse grained and contains only sparse recognisable chondrules up to 2 mm in size.  Mineralogy includes olivine, ortho- and clinopyroxene, and plagioclase (>100 microns), FeNi metal, troilite and chromite. Chondrule types include RP, POP, PO, PP and BO. Olivine and plagioclase grains have undulose extinction; there are annealed metal-troilite veins. About 95% of the metal is oxidised and a considerable amount of troilite remains. ","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.9-19.2, mean=19.00 mol%, std=0.13, n=4; Low-Ca pyroxene Fs16.7-17.3, mean=17.01 mol%, std=0.28, n=4.  ","Ordinary chondrite (L6, S2, W3)",,A. Tomkins,,
9413A,,L5,L6,,Ooldea,Australia,South Australia,Nullarbor Plain,9-Apr-2013,,,,"30° 33' 59.2"" S","131° 46' 31.2"" E",36.3,2,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",33.9,Monash U.,Monash U.,A. Langendam,,Two angular fragments found by A Langendam,"Desert-red coloured fragments, with 30% fusion crust on the larger 3.5 cm sample.","(A. Tait, Monash) Larger chondrules have distinct grain boundaries, although they are somewhat obscured by iron oxide from weathering coating grain boundaries. Chondrule populations include; GOP, RP, POP, PO. Plagioclase grains are 2-50 microns. Olivine has sharp extinction and no shock lamellae. Weathering has oxidized all the Fe-Ni metal grains and much of the troilite. Troilite grains are (~150 microns) in diameter. Small (< 20 microns) metal grains reside in chondrules that protected them from weathering. ","(A. Tait, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa18.6-20.6, mean=19.30 mol%, std=0.92, n=4; Low-Ca pyroxene Fs17.0-17.4, mean=17.18 mol%, std=0.17, n=4. ","Ordinary Chondrite (H4, S1, W3).",,A. Tomkins,,
9413C,,,L4,,Ooldea,Australia,South Australia,Nullarbor Plain,9-Apr-2013,,,,"30° 34' 10.2"" S","131° 46' 20.4"" E",54.6,1,L5,S2,W1,21.89,23.50,,,"J. Savage, Monash","EMPA, Optical microscopy",32,Monash U.,Monash U.,A. Tomkins,,Single fragment with distinct chondrules found by A Tomkins,"No fusion crust, numerous well-formed chondrules visible, 60% of the 5 cm slightly elongate sample covered by lichen.","(J. Savage, Monash) Chondrule boundaries are difficult to distinguish from matrix. Mineralogy includes olivine, pyroxene, plagioclase Fe-Ni Metal, and troilite. Chondrules up to 1 mm include BO, POP, RP, C, PP and PO. Both sharp and undulose extinction are common in olivine, pyroxene and plagioclase grains. One large olivine grain shows mosaicism. Fe-Ni metal shows <10% oxidation; troilite has <5% weathering.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa22.0-23.9, mean=21.89 mol%, std=1.66, n=6; Low-Ca pyroxene Fs23.5, mean=23.5 mol%, std=N/A, n=1.","Ordinary Chondrite (L5, S2, W1).",,A. Tomkins,,
9413E,,L5,H5,,Ooldea,Australia,South Australia,Nullarbor Plain,9-Apr-2013,,,,"30° 34' 16.4"" S","131° 46' 18.1"" E",169,12,L5,S2,W3,24.21,21.36,,,"J. Savage, Monash","EMPA, Optical microscopy",164.4,Monash U.,Monash U.,A. Tomkins,,Twelve fragments spread over ~20 m2 found by A Tomkins,"Several flatish blocky fragments up to 4 cm, several with partial fusion crust, weathered to brown-red.","(J. Savage, Monash) Porphyritic chondrules >1mm are recognisable amongst well recrystallised matrix. Two porphyritic chondrules <1mm have troilite rims. Chondrule mesostasis is completely recrystallised. Minerals present are olivine, pyroxene, plagioclase, Fe-Ni metal and troilite. Chondrule types include PO, C, BO, POP, PP, and RP. The majority of olivine, pyroxene and plagioclase grains exhibit undulose extinction. 85% of Fe-Ni metal is weathered, 50-60% of sulphides.","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa23.0-26.4, mean=24.21 mol%, std=1.58, n=5; Low-Ca pyroxene Fs20.3-23.1, mean=21.36 mol%, std=1.09, n=5.","Ordinary chondrite (L5, S2, W3)",,A. Tomkins,,
9413H,,H4,L4,,Ooldea,Australia,South Australia,Nullarbor Plain,9-Apr-2013,,,,"30° 34' 39"" S","131° 44' 53.8"" E",14.8,1,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",11.3,Monash U.,Monash U.,J. Kuyken,,Single rounded specimen found by J Kuyken,Small rounded flat oriented sample with 70% fusion crust; some lichen attached to the weathered red-brown exterior. ,"(A. Tait, Monash) A finely recrystallised matrix surrounds well-defined chondrules, although the matrix is difficult to distinguish due to weathering. Plagioclase is absent across most of the sample, although a few small (<5 microns) grains were found. The chondrule populations in the sample are; BO, RP, and PO. Most olivine grains have undulose extinction, but no shock lamellae. The sample is extensively oxidized; Fe-Ni metal is almost completely destroyed.","(A. Tait, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa19.3-19.7, mean=19.47 mol%, std=0.19, n=4; Low-Ca pyroxene Fs16.8-17.2, mean=16.99 mol%, std=0.21, n=4.","Ordinary Chondrite (H4, S2, W4).",,A. Tomkins,,
9413I,,H4/5,L4,,Ooldea,Australia,South Australia,Nullarbor Plain,9-Apr-2013,,,,"30° 34' 39.1"" S","131° 45' 1.3"" E",26.9,4,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",22.9,Monash U.,Monash U.,A. Tomkins,,Four angular fragments spread over ~10 m2 found by A Tomkins,"Four angular fragments with sparse remnant fusion crust, weathered red-brown.","(E. Mare, Monash) This sample contains a few indistinct relict chondrules (up to 1mm) in a heavily recrystallised matrix. Mineralogy includes olivine, pyroxene, and plagioclase (up to 100 microns). Chondrule types include CC and PO, however most are difficult to distinguish. Fe-Ni metal and troilite have been almost completely replaced by oxides, which comprise 3-5% of the meteorite. A large (7mm diameter) clast composed of olivine (~15%) and low-Ca pyroxene (~65%) phenocrysts (with minor Ca-pyroxene) in a groundmass (~20%) of plagioclase, skeletal olivine and chromite. Inside this clast there is no evidence for any metal or troilite having been present. Oxides occur along fractures in olivine and pyroxene grains. This clast has indistinct margins, indicating that it has been affected by metamorphism and is most likely to be an unusually large chondrule, rather than a breccia clast. Olivine grains have weak undulose extinction.","(E. Mare, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa24.5-24.9, mean=24.74 mol%, std=0.15, n=10; Low-Ca pyroxene Fs21.0-21.8, mean=21.25 mol%, std=0.27, n=7.","Ordinary chondrite (L6, S2, W4)",,A. Tomkins,,
10413A,,Polymict bx L4-5,Polymict bx L4-6,,Ooldea,Australia,South Australia,Nullarbor Plain,10-Apr-2013,,,,"30°30'21.89""S","131°48'29.78""E",25,2,L5,S4,W1,26.24,20.13,,,"J. Savage, Monash","EMPA, Optical microscopy",19.4,Monash U.,Monash U.,J. Kuyken,,Two broken fragments specimen found by J Kuyken,"Partial fusion crust with rubbly looking broken interior, weathered brown with some lichen attached.","(J. Savage, Monash) This meteorite is a genomict breccia consisting of two fragments. Non-porphyritic chondrules >1 mm are identifiable in one fragment amongst fine-grained matrix of plagioclase/maskelynite, pyroxene and olivine (chondrule types: PP, POP, RP, BO, PO, C). The other breccia fragment has lost all chondrule texture, with the exception of one 1.2 mm POP chondrule with a thick troilite rim.  The contact between the two fragment types is gradational. All olivine, pyroxene and plagioclase show undulose extinction; some pyroxene and olivine grains have shock lamellae, and multiple olivine grains exhibit mosaicism. Fe-Ni metal shows<10% weathering, troilite <5%. ","(J. Savage, Monash) Microprobe analyses show that olivine and pyroxene compositions are uniform: olivine Fa23.1-36.1, mean=26.24 mol%, std=5.52, n=5; Low-Ca pyroxene Fs19.6-20.5, mean=20.13 mol%, std=0.47, n=5.","Ordinary Chondrite (L5-6, S4, W1).",,A. Tomkins,,
11413A,,L6,H5,,Ooldea,Australia,South Australia,Nullarbor Plain,11-Apr-2013,,,,"30° 34' 59.3"" S","131° 43' 4.9"" E",72.4,8,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",65.2,Monash U.,Monash U.,A. Tomkins,,Eight fragments of an oriented individual spread over 5 m2 found by A Tomkins,"Several blocky fragments up to 4 cm, the largest with flight lines on the fusion crust, weathered destert red.","(A. Tomkins, Monash) Well-defined chondrules have fine-grained mesostases, range in size up to 2 mm diameter, and sit in a weakly recrystallised matrix. Mineralogy includes olivine, pyroxene, plagioclase (mainly <10 microns), FeNi metal and troilite. Chondrule types include C, RP, PP, POP, PO and BO. Olivine grains show mosaicism; there is no shock melting. 60% of Fe-Ni metal and much of the troilite grains have been converted to Fe oxides.",,"Ordinary chondrite (L4, S3, W2)",,A. Tomkins,,
12413A,,Primitive E achon,Primitive E achon,Ungr P Achon,Ooldea,Australia,South Australia,Nullarbor Plain,12-Apr-2013,,,,"30° 34' 42.9"" S","131° 48' 44.1"" E",97,2,Ungrouped Primitive Achondrite,S1,W4,12.30,12.20,3.19,,"A. Tomkins, Monash","EMPA, Optical microscopy",91.8,Monash U.,Monash U.,A. Tomkins,,Two rounded broken specimens found 15 m apart by A Tomkins,"The two red-brown specimens are clearly part of the same sample, dispersed by desert weathering. They have partially preserved fusion crust, with 1-2 mm granular crystals exposed where this has been worn away by wind erosion. The cut surface reveals grass green clinopyroxenes dispersed amongst olivine and orthopyroxene. Reflections from the pyroxene cleavage faces give the cut surface a distinctive sparkly appearance. ","(A. Tomkins, Monash) This sample contains coarse-grained equigrannular olivine, orthopyroxene and clinopyroxene with well developed 120 degree triple junctions. Clinopyroxene contains distinctive exsolutions of low-Ca pyroxene. There is no plagioclase in the observed thin section. Olivine grains have sharp extinction. About 95% of the metal is oxidised and a considerable amount of troilite remains. ","(A. Tomkins, Monash) Microprobe analyses show that olivine and orthopyroxene compositions are uniform: olivine Fa12.0-12.5, mean=12.3 mol%, std=0.32, n=4; Low-Ca pyroxene Fs11.5-12.9, mean=12.2 mol%, std=0.5, n=8; high Ca pyroxene Fs4.8-5.9, mean=5.3 mol%, std=0.5, n=2. The sample has oxygen isotope ratios that plot away from known achondrite fields; DATA","The grainsize, texture and silicate compositions are comparable to unbrecciated lodranites, although lacking plagioclase. Metal/troilite are relatively abundant, possibly enriched relative to typical lodranite abundances. The relatively abundant clino- and orthopyroxene, and plagioclase depletion, indicate that this is a primitive achondrite, rather than cumulate. The oxygen isotopes are similar to the acapulocite/lodranite grouping, but different enough to warrant classification as an ungrouped primitive achondrite.",,A. Tomkins,,
12413D,,L5,L5,,Ooldea,Australia,South Australia,Nullarbor Plain,12-Apr-2013,,,,"30° 31' 30.3"" S","131° 48' 24.2"" E",14.5,3,,,,,,,,"A. Tomkins, Monash","EMPA, Optical microscopy",11.7,Monash U.,Monash U.,A. Tomkins,,Three jigsaw-fitting broken specimens found within 2 m2 by A Tomkins,"The three broken samples have well-rounded desert-red fusion crust. When jig-saw fitted, there appears to be about 20% of the sample missing.","(A. Tomkins, Monash) This sample is composed of poorly defined chondrules, ranging in size from 0.5 to 2mm diameter, and strongly recrystallised matrix. Mineralogy includes olivine, pyroxene, plagioclase, Fe-Ni metal, and troilite. Chondrule types include RP, POP, PP, BO, GOP and PO. 75% of metal and sulfide grains have been replaced by iron oxides. Olivine grains show weak mosaicism.",,"Ordinary chondrite (L6, S3, W3)",,A. Tomkins,,
